model=resnet50d device=cuda fold_arg=all
cavity  large  medium  none  small
fold                              
0          12      12    49     16
1          11      13    49     16
2          11      13    50     15
3          11      12    49     16
4          12      11    50     16
[resnet50d] fold4 ep10  loss=0.0538  score=0.7357 acc=0.7640 dice=0.6697 tau*=0.915  (46.5s)
[resnet50d] fold4 ep11  loss=0.0400  score=0.7501 acc=0.7865 dice=0.6652 tau*=0.950  (46.4s)
[resnet50d] fold4 ep12  loss=0.0380  score=0.7658 acc=0.8090 dice=0.6652 tau*=0.555  (45.0s)
[resnet50d] fold4 ep13  loss=0.0236  score=0.7555 acc=0.7865 dice=0.6831 tau*=0.950  (46.2s)
[resnet50d] fold4 ep14  loss=0.0203  score=0.7654 acc=0.7978 dice=0.6899 tau*=0.905  (43.9s)
[resnet50d] fold4 ep15  loss=0.0131  score=0.7555 acc=0.7865 dice=0.6831 tau*=0.945  (45.7s)
[resnet50d] fold4 ep16  loss=0.0040  score=0.7654 acc=0.7978 dice=0.6899 tau*=0.920  (46.0s)
[resnet50d] fold4 ep17  loss=0.0162  score=0.7654 acc=0.7978 dice=0.6899 tau*=0.900  (44.9s)
[resnet50d] fold4 ep18  loss=0.0036  score=0.7640 acc=0.7978 dice=0.6854 tau*=0.800  (47.1s)
[resnet50d] fold4 ep19  loss=0.0020  score=0.7654 acc=0.7978 dice=0.6899 tau*=0.880  (47.8s)
[resnet50d] fold4 ep20  loss=0.0085  score=0.7753 acc=0.8090 dice=0.6966 tau*=0.845  (42.7s)
[resnet50d] fold4 ep21  loss=0.0033  score=0.7555 acc=0.7865 dice=0.6831 tau*=0.890  (42.4s)
[resnet50d] fold4 ep22  loss=0.0044  score=0.7654 acc=0.7978 dice=0.6899 tau*=0.900  (44.5s)
[resnet50d] fold4 ep23  loss=0.0036  score=0.7654 acc=0.7978 dice=0.6899 tau*=0.795  (45.9s)
[resnet50d] fold4 ep24  loss=0.0022  score=0.7640 acc=0.7978 dice=0.6854 tau*=0.825  (44.2s)
[resnet50d] fold4 BEST: {'score': 0.7982022471910111, 'tau': 0.6749999999999999, 'acc': 0.8426966292134831, 'dice': 0.6943820224719102, 'epoch': 9}  -> /workspace/Code/runs/resnet50d/fold4_best.pt
[resnet50d] CV mean score=0.7806 +/- 0.0249
